City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,nema,57.5067,50.5011,10.97,64,100,5.46,RU,1712917099
173,mount gambier,-37.8333,140.7667,11.05,75,70,1.41,AU,1712917100
174,huntsville,34.7304,-86.5861,11.42,88,0,4.02,US,1712916972
175,colonia menno,-22.3667,-59.8167,19.56,97,100,3.92,PY,1712917100
176,caldwell,43.6629,-116.6874,14.55,71,0,2.57,US,1712917101
177,haiku-pauwela,20.9219,-156.3051,22.8,81,0,3.13,US,1712917101
178,ketchikan,55.3422,-131.6461,4.26,87,40,0.0,US,1712917101
179,timbuktu,16.7735,-3.0074,35.12,7,3,8.92,ML,1712917101
180,tocopilla,-22.092,-70.1979,19.42,82,69,4.14,CL,1712916713
181,honavar,14.2833,74.45,31.21,55,5,4.87,IN,1712917102
182,meizhou,24.2977,116.1072,27.21,79,55,1.33,CN,1712917102
183,keflavik,64.0049,-22.5624,2.95,80,75,10.29,IS,1712917102
184,nichinan,31.6,131.3667,15.87,83,99,1.9,JP,1712917102
185,vilyuchinsk,52.9306,158.4028,2.15,88,93,1.17,RU,1712917103
186,richards bay,-28.783,32.0377,22.08,46,2,4.4,ZA,1712917103
187,daru,-9.0763,143.2092,26.98,81,100,5.35,PG,1712917103
188,gadzhiyevo,69.2551,33.3362,-0.62,85,100,4.15,RU,1712917104
189,anadyr,64.75,177.4833,-10.72,79,0,1.0,RU,1712917104
190,lubuklinggau,-3.3,102.8667,25.76,88,99,0.45,ID,1712917104
191,st. john's,47.5649,-52.7093,1.65,87,16,4.47,CA,1712917009
192,dalandzadgad,43.5708,104.425,18.39,17,3,9.65,MN,1712917105
193,kone,-21.0595,164.8658,21.69,90,100,1.7,NC,1712917105
194,touros,-5.1989,-35.4608,26.87,86,56,3.45,BR,1712917000
195,taveta,-3.3963,37.6736,27.7,66,95,0.46,KE,1712917106
196,boke,10.9409,-14.2967,32.95,35,2,1.02,GN,1712917106
197,saint-philippe,-21.3585,55.7679,30.77,80,93,1.32,RE,1712917106
198,basco,20.4487,121.9702,26.45,83,28,5.57,PH,1712917106
199,sur,22.5667,59.5289,33.45,36,99,3.99,OM,1712917107
200,biella,45.5871,8.0859,23.15,53,26,1.92,IT,1712917107
201,tsiombe,-25.3,45.4833,26.84,38,57,5.17,MG,1712917107
202,goroka,-6.0834,145.3873,18.07,98,100,0.01,PG,1712917107
203,xam nua,20.4197,104.0439,28.8,52,85,1.48,LA,1712917107
204,tot'ma,59.9747,42.7642,5.17,95,100,3.8,RU,1712917108
205,fergus falls,46.283,-96.0776,4.18,94,0,5.14,US,1712917058
206,general levalle,-34.0147,-63.9241,10.91,86,96,2.86,AR,1712917108
207,severnoye,56.3491,78.3619,-1.12,74,100,6.26,RU,1712917109
208,mandvi,22.8333,69.3667,29.73,57,2,7.3,IN,1712917109
